Year,Co2 emission Actual,Target,Achievement%,Deficit%
2019.0,3500.0,2529.2,,
2020.0,3380.0,3360.0,3%,-1%
2021.0,3275.0,3226.0,3%,-2%
2022.0,3110.0,3097.0,5%,0%
2023.0,3200.0,2973.0,-3%,-8%
2024.0,3100.0,2854.0,3%,-9%
2025.0,3237.0,2740.0,,
2026.0,3237.0,2630.0,,
2027.0,3237.0,2525.0,,
2028.0,3237.0,2424.0,,
2029.0,3237.0,2327.0,,
2030.0,3237.0,2100.0,,
